oy,kun,yogin
1,1,
2,2,
3,3,17.1
4,4,0.3
5,5,0.4
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,8.6
13,13,2.5
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,5.9
22,22,4.1
23,23,20.8
24,24,1.6
25,25,
26,26,
27,27,1.5
28,28,8.6
29,29,3.4
30,30,9
31,31,6.1
1,32,
2,33,3.1
3,34,21.7
4,35,5.6
5,36,
6,37,
7,38,
8,39,0.4
9,40,0.2
10,41,2
11,42,20.1
12,43,5.9
13,44,6.7
14,45,20
15,46,9.8
16,47,2
17,48,26.7
18,49,27.3
19,50,11.9
20,51,
21,52,
22,53,
23,54,
24,55,
25,56,6.6
26,57,
27,58,
28,59,
1,60,2
2,61,15.5
3,62,2.1
4,63,0.6
5,64,
6,65,5.1
7,66,
8,67,
9,68,1.2
10,69,0.8
11,70,0.2
12,71,
13,72,0.5
14,73,0.4
15,74,
16,75,9.1
17,76,
18,77,7.2
19,78,10.3
20,79,
21,80,14.3
22,81,31
23,82,2.4
24,83,
25,84,
26,85,10.7
27,86,21.2
28,87,
29,88,4.3
30,89,25
31,90,0
1,91,35.9
2,92,12.2
3,93,14.8
4,94,0.3
5,95,1
6,96,2.6
7,97,
8,98,
9,99,
10,100,
11,101,4.9
12,102,9.6
13,103,75.8
14,104,
15,105,
16,106,
17,107,23.8
18,108,
19,109,
20,110,5.4
21,111,6.2
22,112,
23,113,
24,114,
25,115,
26,116,
27,117,3
28,118,5.9
29,119,2.9
30,120,
1,121,
2,122,
3,123,
4,124,
5,125,
6,126,14.7
7,127,34.7
8,128,
9,129,
10,130,
11,131,
12,132,
13,133,
14,134,
15,135,
16,136,
17,137,4
18,138,21.8
19,139,3
20,140,
21,141,
22,142,
23,143,1.1
24,144,
25,145,
26,146,
27,147,
28,148,9
29,149,1
30,150,2.2
31,151,
1,152,
2,153,
3,154,
4,155,5
5,156,
6,157,
7,158,
8,159,
9,160,
10,161,
11,162,
12,163,
13,164,3.2
14,165,
15,166,
16,167,
17,168,
18,169,
19,170,
20,171,
21,172,
22,173,
23,174,
24,175,
25,176,0.3
26,177,
27,178,1.2
28,179,
29,180,
30,181,
1,182,
2,183,
3,184,
4,185,
5,186,
6,187,
7,188,
8,189,
9,190,
10,191,
11,192,
12,193,
13,194,3.3
14,195,
15,196,
16,197,
17,198,
18,199,
19,200,
20,201,
21,202,
22,203,
23,204,
24,205,
25,206,
26,207,
27,208,
28,209,
29,210,0.1
30,211,
31,212,
1,213,
2,214,
3,215,
4,216,9
5,217,
6,218,
7,219,
8,220,
9,221,
10,222,
11,223,0.1
12,224,
13,225,
14,226,
15,227,
16,228,
17,229,
18,230,
19,231,
20,232,
21,233,
22,234,
23,235,
24,236,
25,237,
26,238,
27,239,
28,240,
29,241,
30,242,
31,243,
1,244,
2,245,
3,246,
4,247,
5,248,
6,249,
7,250,
8,251,
9,252,
10,253,
11,254,
12,255,
13,256,
14,257,
15,258,
16,259,
17,260,
18,261,
19,262,
20,263,
21,264,
22,265,
23,266,
24,267,
25,268,
26,269,
27,270,8.6
28,271,16
29,272,15.9
30,273,10.1
1,274,
2,275,1.2
3,276,3.3
4,277,3.4
5,278,
6,279,
7,280,1.2
8,281,
9,282,
10,283,
11,284,
12,285,
13,286,
14,287,
15,288,
16,289,2.3
17,290,
18,291,24.1
19,292,0.7
20,293,
21,294,
22,295,
23,296,
24,297,
25,298,
26,299,
27,300,
28,301,
29,302,
30,303,
31,304,
1,305,
2,306,
3,307,
4,308,
5,309,
6,310,
7,311,
8,312,
9,313,0.2
10,314,0.1
11,315,
12,316,
13,317,
14,318,
15,319,
16,320,
17,321,
18,322,
19,323,1.1
20,324,
21,325,
22,326,
23,327,
24,328,
25,329,
26,330,28.7
27,331,0.2
28,332,
29,333,3.2
30,334,1
1,335,6.2
2,336,14
3,337,
4,338,
5,339,1.6
6,340,
7,341,
8,342,
9,343,1.7
10,344,1.4
11,345,
12,346,
13,347,
14,348,
15,349,
16,350,
17,351,
18,352,1.1
19,353,0.3
20,354,0.2
21,355,0.3
22,356,
23,357,0.3
24,358,
25,359,8
26,360,42.4
27,361,12.8
28,362,
29,363,
30,364,
31,365,
